city,location,sqft,bhk,age,price,basePrice,locMultiplier
Hyderabad,Secunderabad,1162,2,8,12733328,11000,1
Noida,Expressway,660,1,5,6864463,12000,0.92
Salem,Meyyanur,2618,4,5,12343318,4200,0.9
Kannur,Talap,1986,3,12,12614524,5600,1.1
Srinagar,Hazratbal,1382,2,15,8677759,7200,1
Ludhiana,Sarabha Nagar,1689,2,18,13199065,7800,1.25
Jaipur,Jagatpura,1224,2,20,6966495,8200,0.9
Tirupati,Renigunta,1124,2,19,4639918,6000,0.85
Vellore,Thorapadi,1133,2,0,4389765,4100,0.85
Agra,Fatehabad Road,2012,3,10,14536596,6200,1.12
Dharamshala,McLeod Ganj,1810,3,12,18319337,7800,1.3
Vijayawada,Poranki,1409,2,24,6487521,7200,0.9
Coimbatore,Peelamedu,1859,3,8,11996124,6500,0.9
Srinagar,Hazratbal,1098,2,18,6478440,7200,1
Mysuru,Hebbal,642,1,5,3255973,6200,0.9
Shimla,Kasumpti,1454,2,4,13887975,9000,1
Rishikesh,Laxman Jhula,2626,4,22,17727135,6800,1.1
Puducherry,White Town,2187,3,20,16671201,6500,1.35
Bengaluru,Jayanagar,1552,2,11,19688373,12500,1.1
Jalandhar,Nakodar Road,1418,2,6,9531894,7200,0.9
Vellore,Thorapadi,1508,2,20,4177336,4100,0.85
Thiruvananthapuram,Kowdiar,1822,3,19,14473776,7600,1.2
Vijayawada,Gandhinagar,1082,2,10,7488884,7200,1
Visakhapatnam,MVP Colony,2058,3,0,24709427,8000,1.2
Udaipur,Pratap Nagar,1196,2,3,7912582,6800,0.9
Salem,Meyyanur,2381,3,9,9680844,4200,0.9
Jammu,Bahu Plaza,2061,3,5,15080818,6800,0.95
Agra,Fatehabad Road,2489,3,14,17033491,6200,1.12
Belagavi,Tilakwadi,1278,2,8,6670717,4800,1.1
Amritsar,Ranjit Avenue,1599,2,23,10435880,7500,1.2
Belagavi,Hindwadi,2441,3,12,12577692,4800,1.05
Tirupati,MR Palli,2579,4,13,17568345,6000,1.05
Srinagar,Hazratbal,2304,3,11,17210257,7200,1
Kakinada,Bhanugudi,940,1,20,3686297,5400,1.05
Haridwar,Jwalapur,830,1,20,3261395,6200,0.9
Kochi,Fort Kochi,649,1,19,4642032,8800,1.15
Mohali,Phase 7,1051,2,4,11297280,9800,1.05
Tiruchirappalli,K K Nagar,648,1,7,2634777,4700,0.95
Guntur,Amaravathi Road,1781,2,4,10768294,6500,0.9
Ludhiana,Dugri,1093,2,11,7096953,7800,0.9
Puducherry,Reddiarpalayam,2678,4,7,19384707,6500,0.9
Prayagraj,Allahpur,2706,4,20,15321874,6000,1
Madurai,Anna Nagar (MDU),2687,4,16,15803265,5200,1.1
Salem,Alagapuram,2827,4,1,16615903,4200,1.05
Delhi,Rohini,2378,3,11,30945107,14000,0.9
Srinagar,Hazratbal,2582,4,23,16491031,7200,1
Tirunelveli,Melapalayam,795,1,4,2322801,3600,0.85
Faridabad,Surajkund Road,1892,3,9,20979734,9000,1.15
Coimbatore,RS Puram,2771,4,8,24590426,6500,1.15
Thrissur,Mannuthy,1095,2,9,5920492,6200,0.9
Kakinada,Bhanugudi,723,1,8,3604743,5400,1.05
Kannur,Thana,1105,2,12,5980692,5600,1.05
Tiruchirappalli,Srirangam,2544,4,18,12909990,4700,1.1
Meerut,Modipuram,2962,4,16,17855086,6400,0.9
Rishikesh,Laxman Jhula,948,1,10,5971309,6800,1.1
Dharamshala,Naddi,1637,2,18,10017679,7800,0.95
Salem,Meyyanur,896,1,11,2810620,4200,0.9
Srinagar,Hazratbal,1515,2,22,8035313,7200,1
Guntur,Pattabhipuram,746,1,22,3046918,6500,0.95
Kannur,Chovva,1866,3,10,9983453,5600,0.9
Jalandhar,Cantt Area,1484,2,24,8345422,7200,1.1
Prayagraj,Allahpur,2305,3,7,15145261,6000,1
Noida,Sector 76,1132,2,17,10884601,12000,0.95
Kannur,Chovva,972,1,4,4614603,5600,0.9
Mangaluru,Surathkal,1489,2,22,6766363,7000,0.85
Salem,Shevapet,1901,3,13,6909685,4200,0.85
Thrissur,Punkunnam,2231,3,19,12831164,6200,1.05
Dehradun,ISBT Area,1506,2,23,8519515,8200,0.95
Kakinada,Ramanayyapeta,2043,3,21,8836042,5400,0.95
Kozhikode,Kovoor,2300,3,11,15578876,6900,0.95
Ludhiana,Sarabha Nagar,1177,2,11,10669485,7800,1.25
Coimbatore,RS Puram,2859,4,6,25925954,6500,1.15
Thrissur,Mannuthy,2346,3,17,12050915,6200,0.9
Jodhpur,Pal Road,2920,4,9,19898356,6200,0.95
Kanpur,Kalyanpur,1228,2,8,8159580,7000,0.95
Ghaziabad,Crossings Republik,1532,2,5,13392567,9500,0.88
Mangaluru,Bejai,2874,4,21,20047282,7000,1.05
Bengaluru,Electronic City Phase II,1056,2,5,39.07,12500,1
Bengaluru,Chikka Tirupathi,2600,4,5,120,12500,1
Bengaluru,Uttarahalli,1440,3,5,62,12500,1
Bengaluru,Lingadheeranahalli,1521,3,5,95,12500,1
Bengaluru,Kothanur,1200,2,5,51,12500,1
Bengaluru,Whitefield,1170,2,5,38,12500,0.95
Bengaluru,Old Airport Road,2732,4,5,204,12500,1
Bengaluru,Rajaji Nagar,3300,4,5,600,12500,1
Bengaluru,Marathahalli,1310,3,5,63.25,12500,0.92
Bengaluru,Gandhi Bazar,1020,6,5,370,12500,1
Bengaluru,Whitefield,1800,3,5,70,12500,0.95
Bengaluru,Whitefield,2785,4,5,295,12500,0.95
Bengaluru,7th Phase JP Nagar,1000,2,5,38,12500,1
Bengaluru,Gottigere,1100,2,5,40,12500,1
Bengaluru,Sarjapur,2250,3,5,148,12500,1
Bengaluru,Mysore Road,1175,2,5,73.5,12500,1
Bengaluru,Bisuvanahalli,1180,3,5,48,12500,1
Bengaluru,Raja Rajeshwari Nagar,1540,3,5,60,12500,1
Bengaluru,Ramakrishnappa Layout,2770,3,5,290,12500,1
Bengaluru,Manayata Tech Park,1100,2,5,48,12500,1
Bengaluru,Kengeri,600,1,5,15,12500,1
Bengaluru,Binny Pete,1755,3,5,122,12500,1
Bengaluru,Thanisandra,2800,4,5,380,12500,1
Bengaluru,Bellandur,1767,3,5,103,12500,1
Bengaluru, Thanisandra,510,1,5,25.25,12500,1
Bengaluru,Mangammanapalya,1250,3,5,56,12500,1
Bengaluru,Electronic City,660,2,5,23.1,12500,0.8
Bengaluru,Whitefield,1610,3,5,81,12500,0.95
Bengaluru,Ramagondanahalli,1151,2,5,48.77,12500,1
Bengaluru,Electronic City,1025,3,5,47,12500,0.8
Bengaluru,Yelahanka,2100,4,5,186,12500,1
Bengaluru,Bisuvanahalli,1075,3,5,35,12500,1
Bengaluru,Hebbal,1760,3,5,123,12500,0.9
Bengaluru,Raja Rajeshwari Nagar,1693,3,5,57.39,12500,1
Bengaluru,Kasturi Nagar,1925,3,5,125,12500,1
Bengaluru,Kanakpura Road,700,2,5,36,12500,1
Bengaluru,Electronics City Phase 1,1070,2,5,45.5,12500,1
Bengaluru,Kundalahalli,1724,3,5,125,12500,1
Bengaluru,Chikkalasandra,1290,3,5,56.12,12500,1
Bengaluru,Uttarahalli,1143,2,5,45,12500,1
Bengaluru,Murugeshpalya,1296,2,5,81,12500,1
Bengaluru,Sarjapur  Road,1254,3,5,38,12500,1
Bengaluru,Ganga Nagar,600,1,5,38,12500,1
Bengaluru,Yelahanka,660,1,5,48,12500,1
Bengaluru,Kanakpura Road,1330.74,2,5,91.79,12500,1
Bengaluru,HSR Layout,600,8,5,200,12500,1.15
Bengaluru,Doddathoguru,970,2,5,33,12500,1
Bengaluru,Whitefield,1459,2,5,94.82,12500,0.95
Bengaluru,KR Puram,800,2,5,130,12500,1
Bengaluru,Himagiri Meadows,869,2,5,36,12500,1
Bengaluru,Adarsh Nagar,1270,2,5,50,12500,1
Bengaluru,Bhoganhalli,1670,3,5,99,12500,1
Bengaluru,Whitefield,2010,3,5,91,12500,0.95
Bengaluru,Lakshminarayana Pura,1185,2,5,75,12500,1
Bengaluru,Yelahanka,1600,3,5,75,12500,1
Bengaluru,Begur Road,1200,2,5,44,12500,1
Bengaluru,Devanahalli,3010,4,5,192,12500,1
Bengaluru,Ramakrishnappa Layout,1500,2,5,185,12500,1
Bengaluru,Murugeshpalya,1407,6,5,150,12500,1
Bengaluru,Govindaraja Nagar Ward,840,2,5,45,12500,1
Bengaluru,Tharabanahalli,4395,3,5,240,12500,1
Bengaluru,Ganga Nagar,845,2,5,55,12500,1
Bengaluru,Whitefield,5700,4,5,650,12500,0.95
Bengaluru,Varthur,1160,2,5,44,12500,1
Bengaluru,Bommanahalli,3000,8,5,140,12500,1
Bengaluru,Doddathoguru,1100,2,5,62,12500,1
Bengaluru,Gunjur,1140,2,5,43,12500,1
Bengaluru,Marathahalli,1220,2,5,57,12500,0.92
Bengaluru,Devarachikkanahalli,1350,8,5,85,12500,1
Bengaluru,Kanakpura Road,1005,2,5,36.68,12500,1
Bengaluru,Double Road,500,3,5,100,12500,1
Bengaluru,Begur Road,1358,2,5,80.58,12500,1
Bengaluru,Hegde Nagar,1569,3,5,101,12500,1
Bengaluru,Haralur Road,1240,2,5,70,12500,1
Bengaluru,Hennur Road,2089,3,5,140,12500,1
Bengaluru,Kothannur,1206,2,5,48.23,12500,1
Bengaluru,Kalena Agrahara,1150,2,5,40,12500,1
Bengaluru,Cholanayakanahalli,2511,3,5,205,12500,1
Bengaluru,Kaval Byrasandra,460,2,5,22,12500,1
Bengaluru,ISRO Layout,4400,6,5,250,12500,1
Bengaluru,Kodanda Reddy Layout,1660,3,5,105,12500,1
Bengaluru,Hennur Road,2957,4,5,224.5,12500,1
Bengaluru,Yelahanka,1326,2,5,78,12500,1
Bengaluru,Garudachar Palya,1325,3,5,60.8,12500,1
Bengaluru,EPIP Zone,1499,3,5,102,12500,1
Bengaluru,Hegde Nagar,3000,6,5,210,12500,1
Bengaluru,Kanakpura Road,1665,3,5,88,12500,1
Bengaluru,Dasanapura,708,2,5,37,12500,1
Bengaluru,Kasavanhalli,1060,2,5,58.06,12500,1
Bengaluru,Rajaji Nagar,710,6,5,160,12500,1
Bengaluru,Sanjay nagar,1000,2,5,70,12500,1
Bengaluru,Electronic City,1000,2,5,28.88,12500,0.8
Bengaluru, Mysore Highway,1450,3,5,70,12500,1
Bengaluru,ISRO Layout,1200,4,5,155,12500,1
Bengaluru,Thanisandra,1296,2,5,80,12500,1
Bengaluru,Domlur,1540,3,5,90,12500,1
Bengaluru,Kengeri,2894,4,5,245,12500,1
Bengaluru,Sarjapura - Attibele Road,1330,3,5,48,12500,1
Bengaluru,Devasthanagalu,1200,2,5,65,12500,1
Bengaluru,T Dasarahalli,1200,3,5,90,12500,1
Bengaluru,Yeshwanthpur,2502,3,5,138,12500,1
Bengaluru,Chandapura,650,2,5,17,12500,1
Bengaluru,Kothanur,2400,3,5,150,12500,1
Bengaluru,Green View Layout,1007,2,5,43,12500,1
Bengaluru,Shantiniketan Layout,1200,2,5,50,12500,1
Bengaluru,Peenya,966,2,5,49.9,12500,1
Bengaluru,Nagarbhavi,1630,3,5,98,12500,1
Bengaluru,Rajaji Nagar,1640,3,5,229,12500,1
Bengaluru,Jalahalli West,782,2,5,55.68,12500,1
Bengaluru,Devanahalli,1260,2,5,66.78,12500,1
Bengaluru,Lakshmiamma Garden,1800,3,5,120,12500,1
Bengaluru,Byatarayanapura,1413,3,5,75,12500,1
Bengaluru,Whitefield,1116,2,5,51.91,12500,0.95
Bengaluru,Electronic City,1530,3,5,45.9,12500,0.8
Bengaluru,Ramamurthy Nagar,3700,4,5,225,12500,1
Bengaluru,Sarjapur  Road,2497,3,5,140,12500,1
Bengaluru,Kengeri,1540,3,5,64,12500,1
Bengaluru,Thanisandra,1436,3,5,74.75,12500,1
Bengaluru,Malleshwaram,1100,2,5,75,12500,1.2
Bengaluru,Hennur Road,276,2,5,23,12500,1
Bengaluru,Thanisandra,1427,3,5,120,12500,1
Bengaluru,Akshaya Nagar,2061,3,5,200,12500,1
Bengaluru,Hebbal,3067,4,5,477,12500,0.9
Bengaluru,Shampura,2650,4,5,150,12500,1
Bengaluru,Devanahalli,1282,3,5,68.52,12500,1
Bengaluru,Kadugodi,1050,2,5,34,12500,1
Bengaluru,LB Shastri Nagar,1600,3,5,65,12500,1
Bengaluru,Vajarahalli,945,2,5,54,12500,1
Bengaluru,Hormavu,1500,2,5,78,12500,1
Bengaluru,Vishwapriya Layout,950,7,5,115,12500,1
Bengaluru,Peenya,1870,3,5,110,12500,1
Bengaluru,Sarjapur,1600,3,5,75,12500,1
Bengaluru,Electronic City,880,2,5,16.5,12500,0.8
Bengaluru,Ramaswamy Palya - Kammanahalli Main Road,1200,4,5,210,12500,1
Bengaluru,Kudlu Gate,1535,3,5,83,12500,1
Bengaluru,Kanakpura Road,950,2,5,57,12500,1
Bengaluru,Devanahalli,1360,2,5,65,12500,1
Bengaluru,8th Phase JP Nagar,1042,2,5,54.005,12500,1
Bengaluru,Bommasandra Industrial Area,1280,3,5,50.4,12500,1
Bengaluru,Chandra Layout,1260,3,5,85.05,12500,1
Bengaluru,Hennur Road,5000,8,5,250,12500,1
Bengaluru,Yelahanka,3050,5,5,213,12500,1
Bengaluru,Kasavanhalli,1563.05,3,5,105,12500,1
Bengaluru,ISRO Layout,1000,2,5,60,12500,1
Bengaluru,Anandapura,1167,2,5,43.76,12500,1
Bengaluru,Vishveshwarya Layout,4000,7,5,225,12500,1
Bengaluru,Kothanur,1828,3,5,110,12500,1
Bengaluru,Kengeri Satellite Town,890,2,5,35,12500,1
Bengaluru,Basavanapura,1612,3,5,46.74,12500,1
Bengaluru,Dinnur,1034,6,5,185,12500,1
Bengaluru,Mysore Road,1710,3,5,91.31,12500,1
Bengaluru,Kannamangala,957,2,5,58,12500,1
Bengaluru, Devarachikkanahalli,1250,3,5,44,12500,1
Bengaluru,Sanjeevini Nagar,2795,3,5,235,12500,1
Bengaluru,Hulimavu,1125,2,5,50,12500,1
Bengaluru,Electronic City Phase II,1020,2,5,30.6,12500,1
Bengaluru,Kalena Agrahara,1200,2,5,50,12500,1
Bengaluru,Thanisandra,1735,3,5,135,12500,1
Bengaluru,Thanisandra,2050,3,5,145,12500,1
Bengaluru,Mahalakshmi Layout,3750,4,5,760,12500,1
Bengaluru,Yarandahalli,1350,3,5,48,12500,1
Bengaluru,Hosa Road,1063,2,5,32,12500,1
Bengaluru,Keshava Nagar,1904,3,5,150,12500,1
Bengaluru,Whitefield,4200,4,5,420,12500,0.95
Bengaluru,RMV Extension,2000,3,5,175,12500,1
Bengaluru,Sarjapur,1145,2,5,43.49,12500,1
Bengaluru,Tejaswini Nagar,1425,3,5,75,12500,1
Bengaluru,Electronic City,1500,3,5,64.5,12500,0.8
Bengaluru,Electronic City,1060,2,5,60,12500,0.8
Bengaluru,Jai Bheema Nagar,1470,3,5,70,12500,1
Bengaluru,Kothnur Narayanapura,1300,6,5,99,12500,1
Bengaluru,Attibele,450,1,5,11,12500,1
Bengaluru,Electronic City,1152,2,5,64.5,12500,0.8
Bengaluru,Electronic City,1350,3,5,56,12500,0.8
Bengaluru,CV Raman Nagar,1550,3,5,65,12500,1
Bengaluru,CHIKKATIRUPATHI,1500,3,5,100,12500,1
Bengaluru,Kumaraswami Layout,600,5,5,85,12500,1
Bengaluru,Nagavara,400,1,5,14,12500,1
Bengaluru,Malleshwaram,705,1,5,67,12500,1.2
Bengaluru,Electronic City,770,2,5,36,12500,0.8
Bengaluru,Hulimavu,1242,2,5,51,12500,1
Bengaluru,Hebbal Kempapura,1700,3,5,155,12500,1
Bengaluru,Thanisandra,2144,3,5,145,12500,1
Bengaluru,Vijayanagar,1704,3,5,110,12500,1
Bengaluru,Electronic City,1070,2,5,52,12500,0.8
Bengaluru,8th block Koramangala,1846,3,5,300,12500,1
Bengaluru,Jakkuru Layout,1340,2,5,55.7,12500,1
Bengaluru,Electronic City,1025,2,5,46,12500,0.8
Bengaluru,KR Puram,1015,2,5,56.8,12500,1
Bengaluru,Marathahalli,1200,2,5,52,12500,0.92
Bengaluru,Kanakpura Road,2250,4,5,110,12500,1
Bengaluru,Pattandur Agrahara,1550,3,5,80,12500,1
Bengaluru,Bellandur,1200,4,5,325,12500,1
Bengaluru,Ejipura,1800,7,5,250,12500,1
Bengaluru,Marathahalli,1200,2,5,60,12500,0.92
Bengaluru,Yelahanka,1327,2,5,98,12500,1
Bengaluru,Kothanur,1186,2,5,58,12500,1
Bengaluru,MS Pallya,1783,3,5,115,12500,1
Bengaluru,HSR Layout,1400,3,5,56,12500,1.15
Bengaluru,Nagasandra,980,2,5,48,12500,1
Bengaluru,EPIP Zone,1285,2,5,82,12500,1
Bengaluru,Langford Town,912,3,5,70,12500,1
Bengaluru,Whitefield,1225,2,5,47.6,12500,0.95
Bengaluru,Whitefield,1075,2,5,53,12500,0.95
Bengaluru,Kadugodi,1260,3,5,54,12500,1
Bengaluru,Yelahanka,1282,3,5,48.7,12500,1
Bengaluru,Kogilu,1909,3,5,88,12500,1
Bengaluru,Panathur,1359,2,5,87,12500,1
Bengaluru,Nagondanahalli,1207,2,5,43.5,12500,1
Bengaluru,Padmanabhanagar,1736,4,5,190,12500,1
Bengaluru,1st Block Jayanagar,2850,4,5,428,12500,1
Bengaluru,Kammasandra,1595,3,5,65,12500,1
Bengaluru,"Off Sarjapur Road, ",1798,3,5,89,12500,1
Bengaluru,Electronics City Phase 1,1475,3,5,78.29,12500,1
Bengaluru,Tala Cauvery Layout,1580,3,5,100,12500,1
Bengaluru,Dasarahalli,1295,2,5,65,12500,1
Bengaluru,Magadi Road,3600,6,5,141,12500,1
Bengaluru,Electronic City,589,1,5,27,12500,0.8
Bengaluru,Ngef Layout,1415,3,5,78,12500,1
Bengaluru,Sarjapur  Road,1787,3,5,98.29,12500,1
Bengaluru,Sarjapur  Road,1787,3,5,125,12500,1
Bengaluru,Koramangala,1475,3,5,90,12500,1.3
Bengaluru,"Lakshminarayanapura, Electronic City Phase 2",2000,4,5,75.5,12500,1
Bengaluru,Sarjapur  Road,984,2,5,44.28,12500,1
Bengaluru,Devanahalli,1520,3,5,74.82,12500,1
Bengaluru,Muthurayya Swamy Layout,2405,3,5,260,12500,1
Bengaluru,7th Phase JP Nagar,1080,2,5,72,12500,1
Bengaluru,Shantiniketan Layout,1500,2,5,115,12500,1
Bengaluru,Hebbal,1900,3,5,119,12500,0.9
Bengaluru,Dommasandra,805,2,5,22.14,12500,1
Bengaluru,Budigere,1153,2,5,56.4,12500,1
Bengaluru,Dodda Nekkundi Extension,1148,2,5,60,12500,1
Bengaluru,Mylasandra,1110,2,5,55,12500,1
Bengaluru,Electronic City,1100,2,5,42,12500,0.8
Bengaluru,Kalyan nagar,1290,2,5,110,12500,1
Bengaluru,Dr Shivarama Karantha Nagar,1500,3,5,65,12500,1
Bengaluru,Bank Of Baroda Colony,1080,2,5,39,12500,1
Bengaluru,Vijayanagar,1933,3,5,129,12500,1
Bengaluru,Ramamurthy Nagar,3500,5,5,150,12500,1
Bengaluru,Kullappa Colony,1060,2,5,60,12500,1
Bengaluru,Chandapura,645,1,5,16.45,12500,1
Bengaluru,Mukkutam Nagar,2600,8,5,180,12500,1
Bengaluru,Chandapura,645,1,5,16.45,12500,1
Bengaluru,Ashwath Nagar,1644,3,5,84,12500,1
Bengaluru,Ncpr Industrial Layout,1285,2,5,72.5,12500,1
Bengaluru,Electronic City,1200,3,5,90,12500,0.8
Bengaluru,Electronic City,910,2,5,40,12500,0.8
Bengaluru,Kothanur,1577,3,5,70,12500,1
Bengaluru,Meenakunte,4050,3,5,280,12500,1
Bengaluru,OMBR Layout,2420,3,5,185,12500,1
Bengaluru,Chandapura,800,2,5,20,12500,1
Bengaluru,Anand Nagar,1060,2,5,55,12500,1
Bengaluru,7th Phase JP Nagar,1270,2,5,93,12500,1
Bengaluru,Shree Ananth Nagar Layout,900,2,5,22.5,12500,1
Bengaluru,Kundalahalli Colony,1280,2,5,69,12500,1
Bengaluru,Horamavu Agara,1200,4,5,95,12500,1
Bengaluru,Sarjapur  Road,1025,2,5,36,12500,1
Bengaluru,Electronic City,1108,2,5,63,12500,0.8
Bengaluru,MCECHS  layout,1200,5,5,170,12500,1
Bengaluru,Coffee Board Layout,3045,3,5,170,12500,1
Bengaluru,Ambedkar Nagar,2900,4,5,300,12500,1
Bengaluru,Vijayanagar,1500,3,5,75.5,12500,1
Bengaluru,Raja Rajeshwari Nagar,1295,2,5,43.9,12500,1
Bengaluru,Budigere,1162,2,5,59.9,12500,1
Bengaluru,Sarjapur  Road,1035,2,5,49.2,12500,1
Bengaluru,Attibele,1600,4,5,52.8,12500,1
Bengaluru,KUDLU MAIN ROAD,1464,3,5,46,12500,1
Bengaluru,Hennur Road,1866,3,5,61.58,12500,1
Bengaluru,Geleyara Balaga Layout,700,2,5,26,12500,1
Bengaluru,Kalena Agrahara,1804,3,5,120,12500,1
Bengaluru,Sarjapur,913,2,5,32,12500,1
Bengaluru,Talaghattapura,1868,3,5,131,12500,1
Bengaluru,Kengeri Satellite Town,883,2,5,45,12500,1
Bengaluru,Sundara Nagar,900,2,5,110,12500,1
Bengaluru,Kogilu,1664,3,5,73.95,12500,1
Bengaluru,Hegde Nagar,2026,3,5,132,12500,1
Bengaluru,Balagere,1210,2,5,80.9,12500,1
Bengaluru,Meenakunte,4111,4,5,250,12500,1
Bengaluru,Kadugodi,1762,3,5,91.45,12500,1
Bengaluru,Jigani,1252,3,5,55,12500,1
Bengaluru,Gollarapalya Hosahalli,861,2,5,34.5,12500,1
Bengaluru,7th Phase JP Nagar,1420,3,5,100,12500,1
Bengaluru,Srirampura,1450,6,5,250,12500,1
Bengaluru,Electronics City Phase 1,1490,3,5,78.8,12500,1
Bengaluru,Bisuvanahalli,1075,3,5,46,12500,1
Bengaluru,Old Madras Road,1425,3,5,94,12500,1
Bengaluru,Kalena Agrahara,1200,2,5,40,12500,1
Bengaluru,Kaggadasapura,1280,3,5,56,12500,1
Bengaluru,Silver Springs Layout,1084,2,5,50,12500,1
Bengaluru,Chandapura,1015,2,5,25.88,12500,1
Bengaluru,Kanakpura Road,1017,2,5,51.25,12500,1
Bengaluru,Haralur Road,1027,2,5,44,12500,1
Bengaluru,Electronic City Phase II,1069,2,5,45,12500,1
Bengaluru,Hebbal,1349,2,5,98.2,12500,0.9
Bengaluru,9th Phase JP Nagar,1005,2,5,50,12500,1
Bengaluru,Jakkur,1417,2,5,75,12500,1
Bengaluru,TC Palaya,1475,3,5,98,12500,1
Bengaluru,Maruthi Sevanagar,950,2,5,47,12500,1
Bengaluru,RMV 2nd Stage,2000,4,5,120,12500,1
Bengaluru,Giri Nagar,880,3,5,140,12500,1
Bengaluru,Sarjapur  Road,1863,4,5,104,12500,1
Bengaluru,Singasandra,1010,2,5,29.5,12500,1
Bengaluru,Kalena Agrahara,1425,3,5,70,12500,1
Bengaluru,Vijayanagar,1450,3,5,100,12500,1
Bengaluru,Kothanur,1847,3,5,105,12500,1
Bengaluru,AECS Layout,1100,2,5,45,12500,1
Bengaluru,Kanakpura Road,525,1,5,26,12500,1
Bengaluru,Mallasandra,1665,3,5,95,12500,1
Bengaluru,Begur,1664,4,5,65,12500,1
Bengaluru,JP Nagar,1850,3,5,150,12500,1
